,Survived,Pclass,Sex,Age,Fare,Embarked,SP
0,0,3,male,22.0,7.25,S,1
1,1,1,female,38.0,71.2833,C,1
2,1,3,female,26.0,7.925,S,0
3,1,1,female,35.0,53.1,S,1
4,0,3,male,35.0,8.05,S,0
5,0,3,male,26.0,8.4583,Q,0
6,0,1,male,54.0,51.8625,S,0
7,0,3,male,2.0,21.075,S,4
8,1,3,female,27.0,11.1333,S,2
9,1,2,female,14.0,30.0708,C,1
10,1,3,female,4.0,16.7,S,2
11,1,1,female,58.0,26.55,S,0
12,0,3,male,20.0,8.05,S,0
13,0,3,male,39.0,31.275,S,6
14,0,3,female,14.0,7.8542,S,0
15,1,2,female,55.0,16.0,S,0
16,0,3,male,2.0,29.125,Q,5
17,1,2,male,31.0,13.0,S,0
18,0,3,female,31.0,18.0,S,1
19,1,3,female,31.0,7.225,C,0
20,0,2,male,35.0,26.0,S,0
21,1,2,male,34.0,13.0,S,0
22,1,3,female,15.0,8.0292,Q,0
23,1,1,male,28.0,35.5,S,0
24,0,3,female,8.0,21.075,S,4
25,1,3,female,38.0,31.3875,S,6
26,0,3,male,26.0,7.225,C,0
27,0,1,male,19.0,263.0,S,5
28,1,3,female,18.0,7.8792,Q,0
29,0,3,male,26.0,7.8958,S,0
30,0,1,male,40.0,27.7208,C,0
31,1,1,female,41.5,146.5208,C,1
32,1,3,female,18.0,7.75,Q,0
33,0,2,male,66.0,10.5,S,0
34,0,1,male,28.0,82.1708,C,1
35,0,1,male,42.0,52.0,S,1
36,1,3,male,26.0,7.2292,C,0
37,0,3,male,21.0,8.05,S,0
38,0,3,female,18.0,18.0,S,2
39,1,3,female,14.0,11.2417,C,1
40,0,3,female,40.0,9.475,S,1
41,0,2,female,27.0,21.0,S,1
42,0,3,male,26.0,7.8958,C,0
43,1,2,female,3.0,41.5792,C,3
44,1,3,female,19.0,7.8792,Q,0
45,0,3,male,26.0,8.05,S,0
46,0,3,male,26.0,15.5,Q,1
47,1,3,female,18.0,7.75,Q,0
48,0,3,male,26.0,21.6792,C,2
49,0,3,female,18.0,17.8,S,1
50,0,3,male,7.0,39.6875,S,5
51,0,3,male,21.0,7.8,S,0
52,1,1,female,49.0,76.7292,C,1
53,1,2,female,29.0,26.0,S,1
54,0,1,male,65.0,61.9792,C,1
55,1,1,male,40.0,35.5,S,0
56,1,2,female,21.0,10.5,S,0
57,0,3,male,28.5,7.2292,C,0
58,1,2,female,5.0,27.75,S,3
59,0,3,male,11.0,46.9,S,7
60,0,3,male,22.0,7.2292,C,0
61,1,1,female,38.0,80.0,S,0
62,0,1,male,45.0,83.475,S,1
63,0,3,male,4.0,27.9,S,5
64,0,1,male,40.0,27.7208,C,0
65,1,3,male,4.0,15.2458,C,2
66,1,2,female,29.0,10.5,S,0
67,0,3,male,19.0,8.1583,S,0
68,1,3,female,17.0,7.925,S,6
69,0,3,male,26.0,8.6625,S,2
70,0,2,male,32.0,10.5,S,0
71,0,3,female,16.0,46.9,S,7
72,0,2,male,21.0,73.5,S,0
73,0,3,male,26.0,14.4542,C,1
74,1,3,male,32.0,56.4958,S,0
75,0,3,male,25.0,7.65,S,0
76,0,3,male,26.0,7.8958,S,0
77,0,3,male,26.0,8.05,S,0
78,1,2,male,0.83,29.0,S,2
79,1,3,female,30.0,12.475,S,0
80,0,3,male,22.0,9.0,S,0
81,1,3,male,29.0,9.5,S,0
82,1,3,female,18.0,7.7875,Q,0
83,0,1,male,28.0,47.1,S,0
84,1,2,female,17.0,10.5,S,0
85,1,3,female,33.0,15.85,S,3
86,0,3,male,16.0,34.375,S,4
87,0,3,male,26.0,8.05,S,0
88,1,1,female,23.0,263.0,S,5
89,0,3,male,24.0,8.05,S,0
90,0,3,male,29.0,8.05,S,0
91,0,3,male,20.0,7.8542,S,0
92,0,1,male,46.0,61.175,S,1
93,0,3,male,26.0,20.575,S,3
94,0,3,male,59.0,7.25,S,0
95,0,3,male,26.0,8.05,S,0
96,0,1,male,71.0,34.6542,C,0
97,1,1,male,23.0,63.3583,C,1
98,1,2,female,34.0,23.0,S,1
99,0,2,male,34.0,26.0,S,1
100,0,3,female,28.0,7.8958,S,0
101,0,3,male,26.0,7.8958,S,0
102,0,1,male,21.0,77.2875,S,1
103,0,3,male,33.0,8.6542,S,0
104,0,3,male,37.0,7.925,S,2
105,0,3,male,28.0,7.8958,S,0
106,1,3,female,21.0,7.65,S,0
107,1,3,male,26.0,7.775,S,0
108,0,3,male,38.0,7.8958,S,0
109,1,3,female,18.0,24.15,Q,1
110,0,1,male,47.0,52.0,S,0
111,0,3,female,14.5,14.4542,C,1
112,0,3,male,22.0,8.05,S,0
113,0,3,female,20.0,9.825,S,1
114,0,3,female,17.0,14.4583,C,0
115,0,3,male,21.0,7.925,S,0
116,0,3,male,70.5,7.75,Q,0
117,0,2,male,29.0,21.0,S,1
118,0,1,male,24.0,247.5208,C,1
119,0,3,female,2.0,31.275,S,6
120,0,2,male,21.0,73.5,S,2
121,0,3,male,26.0,8.05,S,0
122,0,2,male,32.5,30.0708,C,1
123,1,2,female,32.5,13.0,S,0
124,0,1,male,54.0,77.2875,S,1
125,1,3,male,12.0,11.2417,C,1
126,0,3,male,26.0,7.75,Q,0
127,1,3,male,24.0,7.1417,S,0
128,1,3,female,18.0,22.3583,C,2
129,0,3,male,45.0,6.975,S,0
130,0,3,male,33.0,7.8958,C,0
131,0,3,male,20.0,7.05,S,0
132,0,3,female,47.0,14.5,S,1
133,1,2,female,29.0,26.0,S,1
134,0,2,male,25.0,13.0,S,0
135,0,2,male,23.0,15.0458,C,0
136,1,1,female,19.0,26.2833,S,2
137,0,1,male,37.0,53.1,S,1
138,0,3,male,16.0,9.2167,S,0
139,0,1,male,24.0,79.2,C,0
140,0,3,female,31.0,15.2458,C,2
141,1,3,female,22.0,7.75,S,0
142,1,3,female,24.0,15.85,S,1
143,0,3,male,19.0,6.75,Q,0
144,0,2,male,18.0,11.5,S,0
145,0,2,male,19.0,36.75,S,2
146,1,3,male,27.0,7.7958,S,0
147,0,3,female,9.0,34.375,S,4
148,0,2,male,36.5,26.0,S,2
149,0,2,male,42.0,13.0,S,0
150,0,2,male,51.0,12.525,S,0
151,1,1,female,22.0,66.6,S,1
152,0,3,male,55.5,8.05,S,0
153,0,3,male,40.5,14.5,S,2
154,0,3,male,26.0,7.3125,S,0
155,0,1,male,51.0,61.3792,C,1
156,1,3,female,16.0,7.7333,Q,0
157,0,3,male,30.0,8.05,S,0
158,0,3,male,26.0,8.6625,S,0
159,0,3,male,4.0,69.55,S,10
160,0,3,male,44.0,16.1,S,1
161,1,2,female,40.0,15.75,S,0
162,0,3,male,26.0,7.775,S,0
163,0,3,male,17.0,8.6625,S,0
164,0,3,male,1.0,39.6875,S,5
165,1,3,male,9.0,20.525,S,2
166,1,1,female,41.5,55.0,S,1
167,0,3,female,45.0,27.9,S,5
168,0,1,male,40.0,25.925,S,0
169,0,3,male,28.0,56.4958,S,0
170,0,1,male,61.0,33.5,S,0
171,0,3,male,4.0,29.125,Q,5
172,1,3,female,1.0,11.1333,S,2
173,0,3,male,21.0,7.925,S,0
174,0,1,male,56.0,30.6958,C,0
175,0,3,male,18.0,7.8542,S,2
176,0,3,male,4.0,25.4667,S,4
177,0,1,female,50.0,28.7125,C,0
178,0,2,male,30.0,13.0,S,0
179,0,3,male,36.0,0.0,S,0
180,0,3,female,18.0,69.55,S,10
181,0,2,male,31.0,15.05,C,0
182,0,3,male,9.0,31.3875,S,6
183,1,2,male,1.0,39.0,S,3
184,1,3,female,4.0,22.025,S,2
185,0,1,male,40.0,50.0,S,0
186,1,3,female,31.0,15.5,Q,1
187,1,1,male,45.0,26.55,S,0
188,0,3,male,40.0,15.5,Q,2
189,0,3,male,36.0,7.8958,S,0
190,1,2,female,32.0,13.0,S,0
191,0,2,male,19.0,13.0,S,0
192,1,3,female,19.0,7.8542,S,1
193,1,2,male,3.0,26.0,S,2
194,1,1,female,44.0,27.7208,C,0
195,1,1,female,58.0,146.5208,C,0
196,0,3,male,26.0,7.75,Q,0
197,0,3,male,42.0,8.4042,S,1
198,1,3,female,18.0,7.75,Q,0
199,0,2,female,24.0,13.0,S,0
200,0,3,male,28.0,9.5,S,0
201,0,3,male,26.0,69.55,S,10
202,0,3,male,34.0,6.4958,S,0
203,0,3,male,45.5,7.225,C,0
204,1,3,male,18.0,8.05,S,0
205,0,3,female,2.0,10.4625,S,1
206,0,3,male,32.0,15.85,S,1
207,1,3,male,26.0,18.7875,C,0
208,1,3,female,16.0,7.75,Q,0
209,1,1,male,40.0,31.0,C,0
210,0,3,male,24.0,7.05,S,0
211,1,2,female,35.0,21.0,S,0
212,0,3,male,22.0,7.25,S,0
213,0,2,male,30.0,13.0,S,0
214,0,3,male,26.0,7.75,Q,1
215,1,1,female,31.0,113.275,C,1
216,1,3,female,27.0,7.925,S,0
217,0,2,male,42.0,27.0,S,1
218,1,1,female,32.0,76.2917,C,0
219,0,2,male,30.0,10.5,S,0
220,1,3,male,16.0,8.05,S,0
221,0,2,male,27.0,13.0,S,0
222,0,3,male,51.0,8.05,S,0
223,0,3,male,26.0,7.8958,S,0
224,1,1,male,38.0,90.0,S,1
225,0,3,male,22.0,9.35,S,0
226,1,2,male,19.0,10.5,S,0
227,0,3,male,20.5,7.25,S,0
228,0,2,male,18.0,13.0,S,0
229,0,3,female,18.0,25.4667,S,4
230,1,1,female,35.0,83.475,S,1
231,0,3,male,29.0,7.775,S,0
232,0,2,male,59.0,13.5,S,0
233,1,3,female,5.0,31.3875,S,6
234,0,2,male,24.0,10.5,S,0
235,0,3,female,18.0,7.55,S,0
236,0,2,male,44.0,26.0,S,1
237,1,2,female,8.0,26.25,S,2
238,0,2,male,19.0,10.5,S,0
239,0,2,male,33.0,12.275,S,0
240,0,3,female,18.0,14.4542,C,1
241,1,3,female,18.0,15.5,Q,1
242,0,2,male,29.0,10.5,S,0
243,0,3,male,22.0,7.125,S,0
244,0,3,male,30.0,7.225,C,0
245,0,1,male,44.0,90.0,Q,2
246,0,3,female,25.0,7.775,S,0
247,1,2,female,24.0,14.5,S,2
248,1,1,male,37.0,52.5542,S,2
249,0,2,male,54.0,26.0,S,1
250,0,3,male,26.0,7.25,S,0
251,0,3,female,29.0,10.4625,S,2
252,0,1,male,62.0,26.55,S,0
253,0,3,male,30.0,16.1,S,1
254,0,3,female,41.0,20.2125,S,2
255,1,3,female,29.0,15.2458,C,2
256,1,1,female,41.5,79.2,C,0
257,1,1,female,30.0,86.5,S,0
258,1,1,female,35.0,512.3292,C,0
259,1,2,female,50.0,26.0,S,1
260,0,3,male,26.0,7.75,Q,0
261,1,3,male,3.0,31.3875,S,6
262,0,1,male,52.0,79.65,S,2
263,0,1,male,40.0,0.0,S,0
264,0,3,female,18.0,7.75,Q,0
265,0,2,male,36.0,10.5,S,0
266,0,3,male,16.0,39.6875,S,5
267,1,3,male,25.0,7.775,S,1
268,1,1,female,58.0,153.4625,S,1
269,1,1,female,35.0,135.6333,S,0
270,0,1,male,40.0,31.0,S,0
271,1,3,male,25.0,0.0,S,0
272,1,2,female,41.0,19.5,S,1
273,0,1,male,37.0,29.7,C,1
274,1,3,female,18.0,7.75,Q,0
275,1,1,female,63.0,77.9583,S,1
276,0,3,female,45.0,7.75,S,0
277,0,2,male,31.0,0.0,S,0
278,0,3,male,7.0,29.125,Q,5
279,1,3,female,35.0,20.25,S,2
280,0,3,male,65.0,7.75,Q,0
281,0,3,male,28.0,7.8542,S,0
282,0,3,male,16.0,9.5,S,0
283,1,3,male,19.0,8.05,S,0
284,0,1,male,40.0,26.0,S,0
285,0,3,male,33.0,8.6625,C,0
286,1,3,male,30.0,9.5,S,0
287,0,3,male,22.0,7.8958,S,0
288,1,2,male,42.0,13.0,S,0
289,1,3,female,22.0,7.75,Q,0
290,1,1,female,26.0,78.85,S,0
291,1,1,female,19.0,91.0792,C,1
292,0,2,male,36.0,12.875,C,0
293,0,3,female,24.0,8.85,S,0
294,0,3,male,24.0,7.8958,S,0
295,0,1,male,40.0,27.7208,C,0
296,0,3,male,23.5,7.2292,C,0
297,0,1,female,2.0,151.55,S,3
298,1,1,male,40.0,30.5,S,0
299,1,1,female,50.0,247.5208,C,1
300,1,3,female,18.0,7.75,Q,0
301,1,3,male,26.0,23.25,Q,2
302,0,3,male,19.0,0.0,S,0
303,1,2,female,24.0,12.35,Q,0
304,0,3,male,26.0,8.05,S,0
305,1,1,male,0.92,151.55,S,3
306,1,1,female,30.0,110.8833,C,0
307,1,1,female,17.0,108.9,C,1
308,0,2,male,30.0,24.0,C,1
309,1,1,female,30.0,56.9292,C,0
310,1,1,female,24.0,83.1583,C,0
311,1,1,female,18.0,262.375,C,4
312,0,2,female,26.0,26.0,S,2
313,0,3,male,28.0,7.8958,S,0
314,0,2,male,43.0,26.25,S,2
315,1,3,female,26.0,7.8542,S,0
316,1,2,female,24.0,26.0,S,1
317,0,2,male,54.0,14.0,S,0
318,1,1,female,31.0,164.8667,S,2
319,1,1,female,40.0,134.5,C,2
320,0,3,male,22.0,7.25,S,0
321,0,3,male,27.0,7.8958,S,0
322,1,2,female,30.0,12.35,Q,0
323,1,2,female,22.0,29.0,S,2
324,0,3,male,26.0,69.55,S,10
325,1,1,female,36.0,135.6333,C,0
326,0,3,male,61.0,6.2375,S,0
327,1,2,female,36.0,13.0,S,0
328,1,3,female,31.0,20.525,S,2
329,1,1,female,16.0,57.9792,C,1
330,1,3,female,18.0,23.25,Q,2
331,0,1,male,45.5,28.5,S,0
332,0,1,male,38.0,153.4625,S,1
333,0,3,male,16.0,18.0,S,2
334,1,1,female,41.5,133.65,S,1
335,0,3,male,26.0,7.8958,S,0
336,0,1,male,29.0,66.6,S,1
337,1,1,female,41.0,134.5,C,0
338,1,3,male,45.0,8.05,S,0
339,0,1,male,45.0,35.5,S,0
340,1,2,male,2.0,26.0,S,2
341,1,1,female,24.0,263.0,S,5
342,0,2,male,28.0,13.0,S,0
343,0,2,male,25.0,13.0,S,0
344,0,2,male,36.0,13.0,S,0
345,1,2,female,24.0,13.0,S,0
346,1,2,female,40.0,13.0,S,0
347,1,3,female,31.0,16.1,S,1
348,1,3,male,3.0,15.9,S,2
349,0,3,male,42.0,8.6625,S,0
350,0,3,male,23.0,9.225,S,0
351,0,1,male,40.0,35.0,S,0
352,0,3,male,15.0,7.2292,C,2
353,0,3,male,25.0,17.8,S,1
354,0,3,male,26.0,7.225,C,0
355,0,3,male,28.0,9.5,S,0
356,1,1,female,22.0,55.0,S,1
357,0,2,female,38.0,13.0,S,0
358,1,3,female,18.0,7.8792,Q,0
359,1,3,female,18.0,7.8792,Q,0
360,0,3,male,40.0,27.9,S,5
361,0,2,male,29.0,27.7208,C,1
362,0,3,female,45.0,14.4542,C,1
363,0,3,male,35.0,7.05,S,0
364,0,3,male,26.0,15.5,Q,1
365,0,3,male,30.0,7.25,S,0
366,1,1,female,60.0,75.25,C,1
367,1,3,female,31.0,7.2292,C,0
368,1,3,female,18.0,7.75,Q,0
369,1,1,female,24.0,69.3,C,0
370,1,1,male,25.0,55.4417,C,1
371,0,3,male,18.0,6.4958,S,1
372,0,3,male,19.0,8.05,S,0
373,0,1,male,22.0,135.6333,C,0
374,0,3,female,3.0,21.075,S,4
375,1,1,female,41.5,82.1708,C,1
376,1,3,female,22.0,7.25,S,0
377,0,1,male,27.0,211.5,C,2
378,0,3,male,20.0,4.0125,C,0
379,0,3,male,19.0,7.775,S,0
380,1,1,female,42.0,227.525,C,0
381,1,3,female,1.0,15.7417,C,2
382,0,3,male,32.0,7.925,S,0
383,1,1,female,35.0,52.0,S,1
384,0,3,male,26.0,7.8958,S,0
385,0,2,male,18.0,73.5,S,0
386,0,3,male,1.0,46.9,S,7
387,1,2,female,36.0,13.0,S,0
388,0,3,male,26.0,7.7292,Q,0
389,1,2,female,17.0,12.0,C,0
390,1,1,male,36.0,120.0,S,3
391,1,3,male,21.0,7.7958,S,0
392,0,3,male,28.0,7.925,S,2
393,1,1,female,23.0,113.275,C,1
394,1,3,female,24.0,16.7,S,2
395,0,3,male,22.0,7.7958,S,0
396,0,3,female,31.0,7.8542,S,0
397,0,2,male,46.0,26.0,S,0
398,0,2,male,23.0,10.5,S,0
399,1,2,female,28.0,12.65,S,0
400,1,3,male,39.0,7.925,S,0
401,0,3,male,26.0,8.05,S,0
402,0,3,female,21.0,9.825,S,1
403,0,3,male,28.0,15.85,S,1
404,0,3,female,20.0,8.6625,S,0
405,0,2,male,34.0,21.0,S,1
406,0,3,male,51.0,7.75,S,0
407,1,2,male,3.0,18.75,S,2
408,0,3,male,21.0,7.775,S,0
409,0,3,female,18.0,25.4667,S,4
410,0,3,male,26.0,7.8958,S,0
411,0,3,male,26.0,6.8583,Q,0
412,1,1,female,33.0,90.0,Q,1
413,0,2,male,31.0,0.0,S,0
414,1,3,male,44.0,7.925,S,0
415,0,3,female,31.0,8.05,S,0
416,1,2,female,34.0,32.5,S,2
417,1,2,female,18.0,13.0,S,2
418,0,2,male,30.0,13.0,S,0
419,0,3,female,10.0,24.15,S,2
420,0,3,male,26.0,7.8958,C,0
421,0,3,male,21.0,7.7333,Q,0
422,0,3,male,29.0,7.875,S,0
423,0,3,female,28.0,14.4,S,2
424,0,3,male,18.0,20.2125,S,2
425,0,3,male,26.0,7.25,S,0
426,1,2,female,28.0,26.0,S,1
427,1,2,female,19.0,26.0,S,0
428,0,3,male,26.0,7.75,Q,0
429,1,3,male,32.0,8.05,S,0
430,1,1,male,28.0,26.55,S,0
431,1,3,female,31.0,16.1,S,1
432,1,2,female,42.0,26.0,S,1
433,0,3,male,17.0,7.125,S,0
434,0,1,male,50.0,55.9,S,1
435,1,1,female,14.0,120.0,S,3
436,0,3,female,21.0,34.375,S,4
437,1,2,female,24.0,18.75,S,5
438,0,1,male,64.0,263.0,S,5
439,0,2,male,31.0,10.5,S,0
440,1,2,female,45.0,26.25,S,2
441,0,3,male,20.0,9.5,S,0
442,0,3,male,25.0,7.775,S,1
443,1,2,female,28.0,13.0,S,0
444,1,3,male,26.0,8.1125,S,0
445,1,1,male,4.0,81.8583,S,2
